=== DGCNN — топ операций по CUDA-времени ===

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                             aten::topk         1.57%       6.754ms         8.06%      34.716ms     667.623us     119.503ms        26.64%     121.439ms       2.335ms           0 B           0 B      39.00 MB      39.00 MB            52            --  
                                              aten::max         0.51%       2.204ms         0.85%       3.644ms      70.083us     112.208ms        25.01%     112.208ms       2.158ms           0 B           0 B     312.00 MB     312.00 MB            52            --  
_ZN2at6native13reduce_kernelILi512ELi1ENS0_8ReduceOp...         0.00%       0.000us         0.00%       0.000us       0.000us     112.208ms        25.01%     112.208ms       2.158ms           0 B           0 B           0 B           0 B            52            --  
_ZN2at6native6mbtopk23computeBlockDigitCountsIfjjLi2...         0.00%       0.000us         0.00%       0.000us       0.000us      66.618ms        14.85%      66.618ms     320.280us           0 B           0 B           0 B           0 B           208            --  
                                              aten::add         1.02%       4.397ms         6.27%      27.024ms     129.923us      52.144ms        11.62%      53.000ms     254.806us       1.62 KB       1.62 KB       6.53 GB       6.53 GB           208       876.036  
_ZN2at6native18elementwise_kernelILi128ELi2EZNS0_22g...         0.00%       0.000us         0.00%       0.000us       0.000us      52.038ms        11.60%      52.038ms     444.770us           0 B           0 B           0 B           0 B           117            --  
                                      aten::convolution         0.22%     936.131us         2.64%      11.388ms     125.148us       0.000us         0.00%      29.561ms     324.851us           0 B           0 B       1.70 GB           0 B            91            --  
                                     aten::_convolution         0.43%       1.847ms         2.43%      10.452ms     114.860us       0.000us         0.00%      29.561ms     324.851us           0 B           0 B       1.70 GB           0 B            91            --  
                                aten::cudnn_convolution         1.11%       4.794ms         1.69%       7.296ms      80.171us      29.529ms         6.58%      29.529ms     324.494us           0 B           0 B       1.70 GB       1.70 GB            91            --  
_ZN2at6native6mbtopk10gatherTopKIfjLi2EEEvNS_4cuda6d...         0.00%       0.000us         0.00%       0.000us       0.000us      28.595ms         6.37%      28.595ms     549.898us           0 B           0 B           0 B           0 B            52            --  
                                            aten::clamp         0.32%       1.373ms         0.56%       2.426ms      46.659us      26.909ms         6.00%      26.909ms     517.483us           0 B           0 B       3.25 GB       3.25 GB            52            --  
_ZN2at6native29vectorized_elementwise_kernelILi4EZZZ...         0.00%       0.000us         0.00%       0.000us       0.000us      26.909ms         6.00%      26.909ms     517.483us           0 B           0 B           0 B           0 B            52            --  
                                           aten::conv2d         0.15%     634.517us         1.48%       6.358ms     122.263us       0.000us         0.00%      26.576ms     511.073us           0 B           0 B       1.62 GB           0 B            52    155508.015  
                                              aten::mul         0.57%       2.451ms         3.86%      16.623ms     159.840us      25.520ms         5.69%      25.951ms     249.532us           0 B           0 B       3.25 GB       3.25 GB           104       872.415  
_ZN2at6native29vectorized_elementwise_kernelILi4ENS0...         0.00%       0.000us         0.00%       0.000us       0.000us      25.438ms         5.67%      25.438ms     489.196us           0 B           0 B           0 B           0 B            52            --  
                                  volta_sgemm_128x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us      22.277ms         4.97%      22.277ms     856.816us           0 B           0 B           0 B           0 B            26            --  
                                           aten::matmul         0.54%       2.343ms         2.18%       9.394ms     180.645us       0.000us         0.00%      20.914ms     402.187us           0 B           0 B       3.25 GB           0 B            52            --  
                                              aten::bmm         0.64%       2.741ms         0.98%       4.210ms      80.962us      20.914ms         4.66%      20.914ms     402.187us           0 B           0 B       3.25 GB       3.25 GB            52    112977.773  
                                  volta_sgemm_128x64_nt         0.00%       0.000us         0.00%       0.000us       0.000us      20.914ms         4.66%      20.914ms     402.187us           0 B           0 B           0 B           0 B            52            --  
                                       aten::batch_norm         0.12%     521.220us         3.79%      16.317ms     209.193us       0.000us         0.00%      16.225ms     208.019us           0 B           0 B       1.70 GB           0 B            78            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 430.852ms
Self CUDA time total: 448.592ms
