=== LDGCNNFlash — топ операций по CUDA-времени ===

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                     aten::scaled_dot_product_attention         0.21%     990.731us         1.56%       7.225ms     185.262us       0.000us         0.00%     169.609ms       4.349ms           8 B        -608 B      91.00 MB           0 B            39            --  
          aten::_scaled_dot_product_efficient_attention         0.34%       1.576ms         1.35%       6.234ms     159.858us       0.000us         0.00%     169.609ms       4.349ms         624 B           0 B      91.00 MB           0 B            39            --  
                     aten::_efficient_attention_forward         0.41%       1.901ms         0.81%       3.751ms      96.169us     169.609ms        34.53%     169.609ms       4.349ms         624 B           0 B      91.00 MB           0 B            39            --  
_Z39fmha_cutlassF_f32_aligned_64x64_rf_sm75N22PyTorc...         0.00%       0.000us         0.00%       0.000us       0.000us     169.609ms        34.53%     169.609ms       4.349ms           0 B           0 B           0 B           0 B            39            --  
                                             aten::topk         1.08%       5.009ms         8.15%      37.757ms     968.117us      86.143ms        17.54%      88.101ms       2.259ms           0 B           0 B      36.56 MB      36.56 MB            39            --  
                                           aten::matmul         0.98%       4.559ms         5.74%      26.584ms     107.629us       0.000us         0.00%      72.403ms     293.130us           0 B           0 B       4.90 GB           0 B           247            --  
                                           aten::linear         0.68%       3.138ms         6.04%      27.975ms     126.584us       0.000us         0.00%      63.000ms     285.066us           0 B           0 B       2.46 GB           0 B           221            --  
                                               aten::mm         1.91%       8.859ms         3.32%      15.361ms      73.853us      62.698ms        12.76%      62.698ms     301.435us           0 B           0 B       2.46 GB       2.46 GB           208    346948.633  
_ZN2at6native6mbtopk23computeBlockDigitCountsIfjjLi2...         0.00%       0.000us         0.00%       0.000us       0.000us      46.728ms         9.51%      46.728ms     299.536us           0 B           0 B           0 B           0 B           156            --  
                                 volta_sgemm_128x128_tn         0.00%       0.000us         0.00%       0.000us       0.000us      46.562ms         9.48%      46.562ms     895.418us           0 B           0 B           0 B           0 B            52            --  
_ZN2at6native18elementwise_kernelILi128ELi2EZNS0_22g...         0.00%       0.000us         0.00%       0.000us       0.000us      46.427ms         9.45%      46.427ms     396.813us           0 B           0 B           0 B           0 B           117            --  
                                             aten::add_         0.27%       1.260ms         0.63%       2.919ms      37.422us      36.476ms         7.43%      36.476ms     467.635us           0 B           0 B           0 B           0 B            78            --  
                                              aten::cat         0.43%       1.991ms         0.96%       4.455ms      57.117us      21.706ms         4.42%      21.706ms     278.282us           0 B           0 B       2.41 GB       2.41 GB            78            --  
_ZN2at6native29vectorized_elementwise_kernelILi4EZZZ...         0.00%       0.000us         0.00%       0.000us       0.000us      21.208ms         4.32%      21.208ms     407.844us           0 B           0 B           0 B           0 B            52            --  
                                            aten::clamp         0.23%       1.057ms         0.44%       2.061ms      52.842us      20.949ms         4.26%      20.949ms     537.143us           0 B           0 B       2.44 GB       2.44 GB            39            --  
_ZN2at6native40_GLOBAL__N__0b46c3ea_8_Shape_cu_85d9f...         0.00%       0.000us         0.00%       0.000us       0.000us      20.700ms         4.21%      20.700ms     530.759us           0 B           0 B           0 B           0 B            39            --  
_ZN2at6native6mbtopk10gatherTopKIfjLi2EEEvNS_4cuda6d...         0.00%       0.000us         0.00%       0.000us       0.000us      20.283ms         4.13%      20.283ms     520.080us           0 B           0 B           0 B           0 B            39            --  
                                              aten::mul         0.21%     963.965us         0.47%       2.200ms      56.402us      17.598ms         3.58%      17.598ms     451.238us           0 B           0 B       2.44 GB       2.44 GB            39       654.311  
_ZN2at6native29vectorized_elementwise_kernelILi4ENS0...         0.00%       0.000us         0.00%       0.000us       0.000us      17.598ms         3.58%      17.598ms     451.238us           0 B           0 B           0 B           0 B            39            --  
                                       aten::batch_norm         0.13%     615.520us         2.32%      10.759ms     206.908us       0.000us         0.00%      15.338ms     294.969us           0 B           0 B       1.83 GB     -78.00 KB            52            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 463.342ms
Self CUDA time total: 491.252ms
