=== PointNet — топ операций по CUDA-времени ===

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total KFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::conv1d         1.08%       1.351ms        31.91%      40.003ms     219.796us       0.000us         0.00%      91.862ms     504.734us           0 B           0 B     938.23 MB           0 B           182            --  
                                      aten::convolution         2.06%       2.578ms        30.83%      38.652ms     212.374us       0.000us         0.00%      91.862ms     504.734us           0 B           0 B     938.23 MB           0 B           182            --  
                                     aten::_convolution         6.84%       8.570ms        28.77%      36.074ms     198.208us       0.000us         0.00%      91.862ms     504.734us           0 B           0 B     938.23 MB     -13.61 MB           182            --  
                                aten::cudnn_convolution         6.24%       7.823ms         9.92%      12.441ms      68.356us      79.414ms        62.95%      79.414ms     436.339us           0 B           0 B     938.23 MB     938.23 MB           182            --  
                                  volta_sgemm_128x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us      78.693ms        62.38%      78.693ms     550.300us           0 B           0 B           0 B           0 B           143            --  
                                             aten::add_         2.08%       2.603ms         5.02%       6.295ms      34.587us      11.969ms         9.49%      11.969ms      65.766us           0 B           0 B           0 B           0 B           182            --  
_ZN2at6native18elementwise_kernelILi128ELi2EZNS0_22g...         0.00%       0.000us         0.00%       0.000us       0.000us      11.969ms         9.49%      11.969ms      65.766us           0 B           0 B           0 B           0 B           182            --  
                                       aten::batch_norm         0.77%     961.531us        16.48%      20.665ms     122.276us       0.000us         0.00%      11.366ms      67.256us           0 B           0 B     936.00 MB           0 B           169            --  
                           aten::_batch_norm_impl_index         1.15%       1.442ms        15.72%      19.703ms     116.586us       0.000us         0.00%      11.366ms      67.256us           0 B           0 B     936.00 MB           0 B           169            --  
                                 aten::cudnn_batch_norm         6.66%       8.351ms        14.57%      18.261ms     108.054us      11.366ms         9.01%      11.366ms      67.256us           0 B           0 B     936.00 MB           0 B           169            --  
_ZN5cudnn26bn_fw_inf_1C11_kernel_NCHWIffLb1ELi1EEEvT...         0.00%       0.000us         0.00%       0.000us       0.000us      11.366ms         9.01%      11.366ms      67.256us           0 B           0 B           0 B           0 B           169            --  
                                             aten::relu         1.32%       1.658ms         7.91%       9.917ms      44.871us       0.000us         0.00%      10.982ms      49.693us           0 B           0 B     936.08 MB           0 B           221            --  
                                        aten::clamp_min         3.04%       3.813ms         6.59%       8.259ms      37.371us      10.982ms         8.71%      10.982ms      49.693us           0 B           0 B     936.08 MB     936.08 MB           221            --  
_ZN2at6native29vectorized_elementwise_kernelILi4EZZZ...         0.00%       0.000us         0.00%       0.000us       0.000us      10.982ms         8.71%      10.982ms      49.693us           0 B           0 B           0 B           0 B           221            --  
                                              aten::max         0.93%       1.163ms         1.57%       1.962ms      50.314us       5.012ms         3.97%       5.012ms     128.500us           0 B           0 B     468.00 KB     468.00 KB            39            --  
_ZN2at6native13reduce_kernelILi512ELi1ENS0_8ReduceOp...         0.00%       0.000us         0.00%       0.000us       0.000us       5.012ms         3.97%       5.012ms     128.500us           0 B           0 B           0 B           0 B            39            --  
                                            aten::copy_         0.52%     656.992us         2.63%       3.292ms      84.407us       2.827ms         2.24%       2.835ms      72.692us           0 B           0 B           0 B           0 B            39            --  
_ZN2at6native18elementwise_kernelILi128ELi2EZNS0_22g...         0.00%       0.000us         0.00%       0.000us       0.000us       2.827ms         2.24%       2.827ms      72.486us           0 B           0 B           0 B           0 B            39            --  
                                              aten::cat         0.70%     872.842us         1.32%       1.651ms      42.329us       2.489ms         1.97%       2.489ms      63.810us         624 B         624 B     222.83 MB     222.83 MB            39            --  
_ZN2at6native40_GLOBAL__N__0b46c3ea_8_Shape_cu_85d9f...         0.00%       0.000us         0.00%       0.000us       0.000us       2.489ms         1.97%       2.489ms      95.715us           0 B           0 B           0 B           0 B            26            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 125.371ms
Self CUDA time total: 126.159ms
