=== PointTransformer — топ операций по CUDA-времени ===

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                             aten::topk         0.19%      12.256ms         0.61%      40.205ms     181.921us     133.234ms        17.25%     133.234ms     602.868us           0 B           0 B      31.60 MB      31.60 MB           221            --  
                                           aten::argmax         6.53%     432.350ms        12.61%     834.002ms      47.172us     127.686ms        16.53%     127.686ms       7.222us           0 B           0 B       8.63 MB       8.63 MB         17680            --  
_ZN2at6native13reduce_kernelILi512ELi1ENS0_8ReduceOp...         0.00%       0.000us         0.00%       0.000us       0.000us     127.686ms        16.53%     127.686ms       7.222us           0 B           0 B           0 B           0 B         17680            --  
                                              aten::sum         7.26%     480.387ms        13.61%     900.207ms      49.076us      97.682ms        12.64%      97.682ms       5.325us           0 B           0 B     273.15 MB     273.15 MB         18343            --  
_ZN2at6native13reduce_kernelILi512ELi1ENS0_8ReduceOp...         0.00%       0.000us         0.00%       0.000us       0.000us      94.605ms        12.25%      94.605ms       5.206us           0 B           0 B           0 B           0 B         18174            --  
_ZN2at6native18elementwise_kernelILi128ELi2EZNS0_22g...         0.00%       0.000us         0.00%       0.000us       0.000us      93.701ms        12.13%      93.701ms       5.105us           0 B           0 B           0 B           0 B         18356            --  
                                            aten::index         9.37%     619.659ms        19.00%        1.257s      69.556us      80.740ms        10.45%      81.794ms       4.527us           0 B           0 B     553.15 MB     514.66 MB         18070            --  
_ZN2at6native24index_elementwise_kernelILi128ELi4EZN...         0.00%       0.000us         0.00%       0.000us       0.000us      80.740ms        10.45%      80.740ms       4.468us           0 B           0 B           0 B           0 B         18070            --  
_ZN2at6native6mbtopk23computeBlockDigitCountsIfjjLi2...         0.00%       0.000us         0.00%       0.000us       0.000us      61.383ms         7.95%      61.383ms     196.740us           0 B           0 B           0 B           0 B           312            --  
                                              aten::sub         5.10%     337.628ms        11.16%     738.302ms      41.214us      54.648ms         7.07%      54.682ms       3.052us           0 B           0 B       1.06 GB       1.06 GB         17914            --  
                                           aten::matmul         0.29%      19.089ms         1.55%     102.724ms      88.785us       0.000us         0.00%      51.416ms      44.439us           0 B           0 B       4.54 GB           0 B          1157            --  
                                          aten::minimum         4.24%     280.578ms         9.85%     651.431ms      36.846us      43.481ms         5.63%      43.481ms       2.459us           0 B           0 B     221.91 MB     221.91 MB         17680            --  
_ZN2at6native29vectorized_elementwise_kernelILi4ENS0...         0.00%       0.000us         0.00%       0.000us       0.000us      43.481ms         5.63%      43.481ms       2.459us           0 B           0 B           0 B           0 B         17680            --  
                                           aten::linear         0.12%       8.044ms         1.43%      94.917ms     100.018us       0.000us         0.00%      39.842ms      41.983us           0 B           0 B       2.37 GB           0 B           949            --  
                                               aten::mm         0.52%      34.155ms         0.88%      58.343ms      62.333us      39.651ms         5.13%      39.651ms      42.362us           0 B           0 B       2.37 GB       2.37 GB           936     81679.876  
                                             aten::add_         0.10%       6.490ms         0.23%      15.467ms      34.994us      39.049ms         5.05%      39.049ms      88.347us           0 B           0 B           0 B           0 B           442            --  
                                              aten::pow         6.72%     444.645ms        12.93%     855.366ms      47.200us      36.301ms         4.70%      36.301ms       2.003us           0 B           0 B     670.95 MB     670.95 MB         18122            --  
_ZN2at6native29vectorized_elementwise_kernelILi4EZNS...         0.00%       0.000us         0.00%       0.000us       0.000us      36.301ms         4.70%      36.301ms       2.003us           0 B           0 B           0 B           0 B         18122            --  
                                            aten::copy_         2.82%     186.786ms        10.20%     674.852ms      36.277us      33.601ms         4.35%      33.605ms       1.806us           0 B           0 B           0 B           0 B         18603            --  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      32.500ms         4.21%      32.500ms       1.786us           0 B           0 B           0 B           0 B         18200            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 6.616s
Self CUDA time total: 772.566ms
